	id	address	longitude	latitude	bedroom	room	surface	price	onesquaremeter	tags	district	neighborhood	done
0	A888553302	宝山-大场  金地艺境(宝山)(555弄)	121.34392735101002	31.319356171842603	2	2	30.0	1160000.0	38666.6666666667	金地开发 **首推 地铁首通 价格首降 配套就是你能想到的	baoshan	dachang	1
1	A888376847	宝山-大场  骏华苑	121.407324884273	31.3023675431043	1	1	38.0	1950000.0	51315.7894736842	龙璟公馆嘉兴市近万达广场，北大附属实验校区，地铁沿线高铁站旁	baoshan	dachang	1
2	A885088482	宝山-大场  琉樽尚品(255弄)	121.397487377268	31.2908711986862	3	2	92.0	5350000.0	58152.173913043494	92+7平书房，婚房装修30万！满2年税少11万！再降20万	baoshan	dachang	1
3	A885392981	宝山-大场  琉樽尚品（255弄）	121.397487377268	31.2908711986862	2	2	68.0	4350000.0	63970.588235294104	中环景观，电梯复式，豪装45万全送，拎包入住，小格局大设计，	baoshan	dachang	1
4	A885831305	宝山-大场  美好家小区	121.421397234518	31.302658471085	2	2	80.0	4000000.0	50000.0	美好家南北通精装2房板式房型采光好随时好看带天井	baoshan	dachang	1
